0, -21821184 
1, -21924608 
2, -21311232 
3, -21836288 
4, -21378560 
5, -21461248 
6, -21296640 
7, -21691648 
8, -21311488 
9, -21059840 
10, -21002240 
11, -20603136 
12, -20860160 
13, -20529664 
14, -20434176 
15, -20528640 
16, -20578304 
17, -20511488 
18, -20488192 
19, -20875776 
20, -20527360 
21, -21091328 
22, -20764672 
23, -21024256 
24, -21112576 
25, -20911104 
26, -21841920 
27, -21349888 
28, -21872640 
29, -21666816 
30, -22427136 
31, -21778944 
32, -22104832 
33, -22486784 
34, -22238976 
35, -22510848 
36, -21749504 
37, -23020032 
38, -22472192 
39, -23100928 
40, -22492416 
41, -22425856 
42, -23255296 
43, -22946048 
44, -23136256 
45, -22911232 
46, -23057408 
47, -22968064 
48, -23320576 
49, -23196672 
50, -23667712 
51, -23014656 
52, -23357952 
53, -23094528 
54, -22832640 
55, -23148800 
56, -23109632 
57, -23073280 
58, -22696960 
59, -23166464 
60, -22977792 
61, -23486208 
62, -23686656 
63, -23279104 
64, -23567104 
65, -22879744 
66, -23452160 
67, -23160576 
68, -22813952 
69, -23243776 
70, -22764800 
71, -23266304 
72, -22653952 
73, -22994944 
74, -22748928 
75, -22689792 
76, -22264064 
77, -22483968 
78, -22965760 
79, -22397440 
80, -22744320 
81, -22835968 
82, -22973952 
83, -22865152 
84, -22956800 
85, -23612928 
86, -23803136 
87, -24294656 
88, -24090112 
89, -24799232 
90, -24880640 
91, -25296128 
92, -25145088 
93, -25468416 
94, -25691648 
95, -25638912 
96, -26341376 
97, -26467328 
98, -26707456 
99, -26795264 
100, -27516416 
101, -27138816 
102, -27411200 
103, -27906560 
104, -27674368 
105, -27621376 
106, -27340544 
107, -27895552 
108, -27013376 
109, -27776768 
110, -27462144 
111, -27791872 
112, -27757312 
113, -27806208 
114, -28430080 
115, -27881984 
116, -28696064 
117, -28559360 
118, -29210880 
119, -28977664 
120, -29293568 
121, -29763584 
122, -29175296 
123, -30376448 
124, -29761792 
125, -30533376 
126, -30027776 
127, -30375168 
128, -30328832 
129, -30416128 
130, -30504192 
131, -30419712 
132, -30774016 
133, -30722560 
134, -31089664 
135, -30697216 
136, -31042816 
137, -30451968 
138, -30816768 
139, -31013888 
140, -30740736 
141, -30923520 
142, -30688768 
143, -31439360 
144, -31074816 
145, -31350016 
146, -31346432 
147, -31420928 
148, -31367936 
149, -31326720 
150, -31337472 
151, -31189760 
152, -31239936 
153, -31162624 
154, -31232256 
155, -31271168 
156, -31173632 
157, -31396096 
158, -30850816 
159, -31373568 
160, -31062016 
161, -30751744 
162, -30931200 
163, -30730496 
164, -30775808 
165, -30292992 
166, -30624256 
167, -30044416 
168, -30115328 
169, -29747200 
170, -29428480 
171, -29671936 
172, -29471232 
173, -29032704 
174, -29091584 
175, -29107712 
176, -28256512 
177, -29070592 
178, -28109056 
179, -28481536 
180, -28671488 
181, -27789056 
182, -28541696 
183, -28005376 
184, -28346624 
185, -28111360 
186, -28274944 
187, -27592704 
188, -27873536 
189, -27916032 
190, -27365120 
191, -27862528 
192, -26926080 
193, -27421440 
194, -26352384 
195, -26692352 
196, -26125056 
197, -25938432 
198, -25542144 
199, -25176320 
200, -25300480 
201, -25008896 
202, -24960768 
203, -24158464 
204, -24519936 
205, -24220672 
206, -24197120 
207, -24039168 
208, -23872768 
209, -23850752 
210, -23998976 
211, -24226048 
212, -23822592 
213, -24298496 
214, -23710976 
215, -23778304 
216, -23766016 
217, -23628800 
218, -23737600 
219, -23491584 
220, -23992832 
221, -23778560 
222, -24097280 
223, -23894784 
224, -24220928 
225, -24065792 
226, -24067328 
227, -24366848 
228, -24146176 
229, -24536064 
230, -24273664 
231, -24502272 
232, -24372992 
233, -24399104 
234, -24359168 
235, -24170496 
236, -24228608 
237, -23598592 
238, -23961600 
239, -24014848 
240, -24025344 
241, -24039936 
242, -23885312 
243, -24280320 
244, -23840768 
245, -24378112 
246, -24017152 
247, -24018944 
248, -24302336 
249, -24358656 
250, -24700160 
251, -24067584 
252, -24449536 
253, -24287744 
254, -24288256 
255, -24387840 
256, -24603648 
257, -24450304 
258, -24575232 
259, -24354560 
260, -24589824 
261, -24583680 
262, -24259840 
263, -24608256 
264, -24489472 
265, -24815360 
266, -25060096 
267, -24893184 
268, -25294080 
269, -24910080 
270, -24939264 
271, -24879616 
272, -25257984 
273, -24864512 
274, -25259520 
275, -25172480 
276, -25169664 
277, -25219072 
278, -25151744 
279, -25133824 
280, -25100800 
281, -25232896 
282, -25306368 
283, -25243392 
284, -25596928 
285, -25487360 
286, -25899264 
287, -25904896 
288, -25857792 
289, -26049536 
290, -25978624 
291, -25873920 
292, -25456640 
293, -26043136 
294, -25541120 
295, -25872384 
296, -25844224 
297, -25652480 
298, -25719296 
299, -25432832 
300, -25589760 
301, -25216256 
302, -25361408 
303, -25250048 
304, -25467648 
305, -25881344 
306, -25509632 
307, -25739520 
308, -25650944 
309, -25923072 
310, -26193664 
311, -25827840 
312, -25818624 
313, -25819904 
314, -26405632 
315, -26155776 
316, -26289152 
317, -26381056 
318, -26073088 
319, -26177792 
320, -26531584 
321, -26185728 
322, -26274816 
323, -26420992 
324, -26611200 
325, -26342912 
326, -26351872 
327, -26240768 
328, -26014208 
329, -25905664 
330, -25886208 
331, -25278208 
332, -25082624 
333, -25064960 
334, -24809472 
335, -24818944 
336, -24703488 
337, -24775424 
338, -24484096 
339, -24310784 
340, -24528384 
341, -24470528 
342, -24055040 
343, -24531456 
344, -24216576 
345, -24399872 
346, -24388608 
347, -24632064 
348, -24223744 
349, -24684032 
350, -24790784 
351, -24329728 
352, -24798464 
353, -24139520 
354, -24201728 
355, -24061440 
356, -24000000 
357, -23906816 
358, -23738880 
359, -23492352 
360, -23776000 
361, -23066880 
362, -23134208 
363, -22731008 
364, -22713344 
365, -22386944 
366, -22475264 
367, -22272512 
368, -22118912 
369, -21896704 
370, -21380352 
371, -22045696 
372, -21321984 
373, -21149952 
374, -20883968 
375, -20901120 
376, -20525312 
377, -21014528 
378, -20846336 
379, -20955648 
380, -21309184 
381, -20760064 
382, -21152768 
383, -20701952 
384, -20638464 
385, -20985088 
386, -21043968 
387, -21078528 
388, -20909824 
389, -21111040 
390, -21212416 
391, -21404928 
392, -21430528 
393, -21394176 
394, -21605888 
395, -22274816 
396, -21942528 
397, -22519552 
398, -22469120 
399, -22396928 
400, -22505984 
401, -22487040 
402, -22688256 
403, -23065088 
404, -23139072 
405, -23042304 
406, -23663872 
407, -23740160 
408, -23906304 
409, -24345856 
410, -24199168 
411, -24642048 
412, -25129472 
413, -24870656 
414, -25300224 
415, -25210368 
416, -25790720 
417, -25194240 
418, -25663488 
419, -25577728 
420, -25981184 
421, -26079744 
422, -25629184 
423, -26306048 
424, -25734912 
425, -26320128 
426, -26017280 
427, -26403072 
428, -26679296 
429, -26568192 
430, -26834688 
431, -26728448 
432, -27259392 
433, -26872320 
434, -27229952 
435, -26945536 
436, -27216896 
437, -27338496 
438, -27479808 
439, -27194880 
440, -27251200 
441, -27685376 
442, -27454720 
443, -27579648 
444, -27188480 
445, -27232512 
446, -27350784 
447, -26928384 
448, -27012608 
449, -26689536 
450, -26753536 
451, -26637056 
452, -26569728 
453, -26363136 
454, -25868032 
455, -25763072 
456, -25229312 
457, -25047552 
458, -24680448 
459, -24641024 
460, -23867136 
461, -23813376 
462, -23591168 
463, -23070208 
464, -23017472 
465, -22710272 
466, -22484992 
467, -21998592 
468, -21693440 
469, -21273600 
470, -21652992 
471, -21613568 
472, -21389312 
473, -20916992 
474, -21202432 
475, -20477184 
476, -20206848 
477, -20026112 
478, -19812352 
479, -20003328 
480, -19324160 
481, -19690752 
482, -18944512 
483, -18940928 
484, -18449408 
485, -18256128 
486, -18230272 
487, -17777664 
488, -17775616 
489, -17078016 
490, -17306368 
491, -16887040 
492, -17407744 
493, -17078272 
494, -16698368 
495, -17126912 
496, -16737024 
497, -17073664 
498, -16337920 
499, -16079104 
500, -16454656 
501, -16280832 
502, -16308480 
503, -16102400 
504, -16963328 
505, -16003072 
506, -16699648 
507, -16205568 
508, -16659968 
509, -16403968 
510, -16790528 
511, -17102848 
512, -17017088 
513, -17190144 
514, -17019648 
515, -17457152 
516, -17197056 
517, -17347584 
518, -17513984 
519, -17470208 
520, -17874432 
521, -17397248 
522, -18086144 
523, -17623040 
524, -18407424 
525, -17981696 
526, -18412288 
527, -18670080 
528, -18678528 
529, -19010048 
530, -19055360 
531, -19928832 
532, -19286784 
533, -20307456 
534, -20066048 
535, -20749312 
536, -20861440 
537, -21086720 
538, -20638720 
539, -20785920 
540, -20605440 
541, -20926464 
542, -20995072 
543, -20840448 
544, -20961536 
545, -20975872 
546, -21214720 
547, -20981248 
548, -21268992 
549, -21056256 
550, -20744192 
551, -21220096 
552, -20695040 
553, -21385728 
554, -20759808 
555, -20708352 
556, -20230400 
557, -19864832 
558, -20385792 
559, -19470592 
560, -19863296 
561, -19359744 
562, -19568640 
563, -19164416 
564, -19141120 
565, -19606528 
566, -19066368 
567, -19857408 
568, -19075072 
569, -19405056 
570, -19090944 
571, -19634432 
572, -19138816 
573, -19344384 
574, -19304448 
575, -19163648 
576, -19170048 
577, -18430464 
578, -18952192 
579, -18261504 
580, -18982912 
581, -17862400 
582, -18739200 
583, -18333184 
584, -18085888 
585, -18457600 
586, -17847808 
587, -18294784 
588, -18131200 
589, -18338304 
590, -18526208 
591, -18117120 
592, -18591232 
593, -18073344 
594, -18337792 
595, -18184192 
596, -18837760 
597, -18408448 
598, -18909952 
599, -18662144 
